Data size:	256 x 256
Surface Size:	5.0000 x 5.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	NanoMeter

X		Y		Z
0.0000	?m	0.0000	?m	0.000000000	nm
0.0195	?m	0.0000	?m	0.000000000	nm
0.0391	?m	0.0000	?m	0.000000000	nm
0.0586	?m	0.0000	?m	0.000000000	nm
0.0781	?m	0.0000	?m	0.000000000	nm
0.0977	?m	0.0000	?m	0.000000000	nm
0.1172	?m	0.0000	?m	0.000000000	nm
0.1367	?m	0.0000	?m	0.000000000	nm
0.1562	?m	0.0000	?m	-0.146889652	nm
0.1758	?m	0.0000	?m	-0.146889652	nm
0.1953	?m	0.0000	?m	0.000000000	nm
0.2148	?m	0.0000	?m	0.000000000	nm
0.2344	?m	0.0000	?m	-0.146889652	nm
0.2539	?m	0.0000	?m	0.000000000	nm
0.2734	?m	0.0000	?m	0.000000000	nm
0.2930	?m	0.0000	?m	0.000000000	nm
0.3125	?m	0.0000	?m	0.000000000	nm
0.3320	?m	0.0000	?m	0.000000000	nm
0.3516	?m	0.0000	?m	0.000000000	nm
0.3711	?m	0.0000	?m	0.000000000	nm
0.3906	?m	0.0000	?m	0.000000000	nm
0.4102	?m	0.0000	?m	0.000000000	nm
0.4297	?m	0.0000	?m	0.000000000	nm
0.4492	?m	0.0000	?m	0.000000000	nm
0.4688	?m	0.0000	?m	0.000000000	nm
0.4883	?m	0.0000	?m	0.000000000	nm
0.5078	?m	0.0000	?m	0.000000000	nm
0.5273	?m	0.0000	?m	0.000000000	nm
0.5469	?m	0.0000	?m	0.000000000	nm
0.5664	?m	0.0000	?m	0.000000000	nm
0.5859	?m	0.0000	?m	0.000000000	nm
0.6055	?m	0.0000	?m	0.000000000	nm
0.6250	?m	0.0000	?m	0.000000000	nm
0.6445	?m	0.0000	?m	0.000000000	nm
0.6641	?m	0.0000	?m	0.000000000	nm
0.6836	?m	0.0000	?m	0.000000000	nm
0.7031	?m	0.0000	?m	0.000000000	nm
0.7227	?m	0.0000	?m	0.000000000	nm
0.7422	?m	0.0000	?m	0.000000000	nm
0.7617	?m	0.0000	?m	-0.146889652	nm
0.7812	?m	0.0000	?m	0.000000000	nm
0.8008	?m	0.0000	?m	0.000000000	nm
0.8203	?m	0.0000	?m	0.000000000	nm
0.8398	?m	0.0000	?m	0.000000000	nm
0.8594	?m	0.0000	?m	0.000000000	nm
0.8789	?m	0.0000	?m	0.000000000	nm
0.8984	?m	0.0000	?m	0.000000000	nm
0.9180	?m	0.0000	?m	0.000000000	nm
0.9375	?m	0.0000	?m	0.000000000	nm
0.9570	?m	0.0000	?m	0.000000000	nm
0.9766	?m	0.0000	?m	0.000000000	nm
0.9961	?m	0.0000	?m	0.000000000	nm
1.0156	?m	0.0000	?m	0.146889652	nm
1.0352	?m	0.0000	?m	0.000000000	nm
1.0547	?m	0.0000	?m	0.146889652	nm
1.0742	?m	0.0000	?m	0.000000000	nm
1.0938	?m	0.0000	?m	0.000000000	nm
1.1133	?m	0.0000	?m	0.000000000	nm
1.1328	?m	0.0000	?m	0.000000000	nm
1.1523	?m	0.0000	?m	0.000000000	nm
1.1719	?m	0.0000	?m	0.000000000	nm
1.1914	?m	0.0000	?m	0.000000000	nm
1.2109	?m	0.0000	?m	0.000000000	nm
1.2305	?m	0.0000	?m	0.000000000	nm
1.2500	?m	0.0000	?m	0.000000000	nm
1.2695	?m	0.0000	?m	0.000000000	nm
1.2891	?m	0.0000	?m	-0.146889652	nm
1.3086	?m	0.0000	?m	-0.146889652	nm
1.3281	?m	0.0000	?m	0.000000000	nm
1.3477	?m	0.0000	?m	0.000000000	nm
1.3672	?m	0.0000	?m	0.000000000	nm
1.3867	?m	0.0000	?m	0.000000000	nm
1.4062	?m	0.0000	?m	0.000000000	nm
1.4258	?m	0.0000	?m	0.000000000	nm
1.4453	?m	0.0000	?m	0.000000000	nm
1.4648	?m	0.0000	?m	0.000000000	nm
1.4844	?m	0.0000	?m	0.000000000	nm
1.5039	?m	0.0000	?m	0.000000000	nm
1.5234	?m	0.0000	?m	0.000000000	nm
1.5430	?m	0.0000	?m	0.000000000	nm
1.5625	?m	0.0000	?m	0.000000000	nm
1.5820	?m	0.0000	?m	0.000000000	nm
1.6016	?m	0.0000	?m	0.000000000	nm
1.6211	?m	0.0000	?m	0.000000000	nm
1.6406	?m	0.0000	?m	0.000000000	nm
1.6602	?m	0.0000	?m	0.000000000	nm
1.6797	?m	0.0000	?m	0.000000000	nm
1.6992	?m	0.0000	?m	0.000000000	nm
1.7188	?m	0.0000	?m	0.000000000	nm
1.7383	?m	0.0000	?m	0.000000000	nm
