Data size:	256 x 256
Surface Size:	3.0000 x 3.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	MilliVolt

X		Y		Z
0.0000	?m	0.0000	?m	11.901855469	mV
0.0117	?m	0.0000	?m	17.395019531	mV
0.0234	?m	0.0000	?m	23.193359375	mV
0.0352	?m	0.0000	?m	27.770996094	mV
0.0469	?m	0.0000	?m	37.536621094	mV
0.0586	?m	0.0000	?m	27.160644531	mV
0.0703	?m	0.0000	?m	23.803710938	mV
0.0820	?m	0.0000	?m	25.939941406	mV
0.0938	?m	0.0000	?m	26.245117188	mV
0.1055	?m	0.0000	?m	14.038085938	mV
0.1172	?m	0.0000	?m	9.765625000	mV
0.1289	?m	0.0000	?m	8.239746094	mV
0.1406	?m	0.0000	?m	8.544921875	mV
0.1523	?m	0.0000	?m	0.915527344	mV
0.1641	?m	0.0000	?m	2.746582031	mV
0.1758	?m	0.0000	?m	3.662109375	mV
0.1875	?m	0.0000	?m	3.356933594	mV
0.1992	?m	0.0000	?m	3.051757812	mV
0.2109	?m	0.0000	?m	-0.610351562	mV
0.2227	?m	0.0000	?m	-22.888183594	mV
0.2344	?m	0.0000	?m	-9.765625000	mV
0.2461	?m	0.0000	?m	-4.272460938	mV
0.2578	?m	0.0000	?m	0.000000000	mV
0.2695	?m	0.0000	?m	-2.746582031	mV
0.2812	?m	0.0000	?m	-14.343261719	mV
0.2930	?m	0.0000	?m	-17.395019531	mV
0.3047	?m	0.0000	?m	-17.395019531	mV
0.3164	?m	0.0000	?m	-13.732910156	mV
0.3281	?m	0.0000	?m	-7.019042969	mV
0.3398	?m	0.0000	?m	-3.356933594	mV
0.3516	?m	0.0000	?m	-7.629394531	mV
0.3633	?m	0.0000	?m	-8.239746094	mV
0.3750	?m	0.0000	?m	-7.324218750	mV
0.3867	?m	0.0000	?m	-9.765625000	mV
0.3984	?m	0.0000	?m	-2.441406250	mV
0.4102	?m	0.0000	?m	-3.662109375	mV
0.4219	?m	0.0000	?m	-6.103515625	mV
0.4336	?m	0.0000	?m	-3.967285156	mV
0.4453	?m	0.0000	?m	-5.187988281	mV
0.4570	?m	0.0000	?m	5.187988281	mV
0.4688	?m	0.0000	?m	2.136230469	mV
0.4805	?m	0.0000	?m	-0.305175781	mV
0.4922	?m	0.0000	?m	-2.136230469	mV
0.5039	?m	0.0000	?m	0.610351562	mV
0.5156	?m	0.0000	?m	-0.610351562	mV
0.5273	?m	0.0000	?m	-0.915527344	mV
0.5391	?m	0.0000	?m	0.915527344	mV
0.5508	?m	0.0000	?m	0.000000000	mV
0.5625	?m	0.0000	?m	1.525878906	mV
0.5742	?m	0.0000	?m	0.000000000	mV
0.5859	?m	0.0000	?m	0.915527344	mV
0.5977	?m	0.0000	?m	-1.220703125	mV
0.6094	?m	0.0000	?m	-1.525878906	mV
0.6211	?m	0.0000	?m	-6.408691406	mV
