Labels	quencher 0.5 mM		
Type	Time Scan	
Comment		
start(nm)	0.00	
stop(nm)	999.02340	
step(nm)	0.976563	
fixed/offset(nm)	 	
Xaxis	Time	
Yaxis	Counts	
0.00	1.000E+0	
0.976563	1.000E+0	
1.953125	0.000E+0	
2.929688	0.000E+0	
3.906250	3.000E+0	
4.882813	2.000E+0	
5.859375	0.000E+0	
6.835938	0.000E+0	
7.81250	0.000E+0	
8.789063	0.000E+0	
9.765625	1.000E+0	
10.742188	0.000E+0	
11.718750	1.000E+0	
12.695313	0.000E+0	
13.671875	1.000E+0	
14.648438	0.000E+0	
15.6250	3.000E+0	
16.601563	0.000E+0	
17.578125	2.000E+0	
18.554688	1.000E+0	
19.531250	0.000E+0	
20.507813	3.000E+0	
21.484375	0.000E+0	
22.460938	0.000E+0	
23.43750	0.000E+0	
24.414063	1.000E+0	
25.390625	1.000E+0	
26.367188	0.000E+0	
27.343750	2.000E+0	
28.320313	0.000E+0	
29.296875	0.000E+0	
30.273438	0.000E+0	
31.250	0.000E+0	
32.226563	1.000E+0	
33.203125	1.000E+0	
34.179688	0.000E+0	
35.156250	2.000E+0	
36.132813	1.000E+0	
37.109375	2.000E+0	
38.085938	1.000E+0	
39.06250	0.000E+0	
40.039063	1.000E+0	
41.015625	1.000E+0	
41.992188	0.000E+0	
42.968750	1.000E+0	
43.945313	0.000E+0	
44.921875	1.000E+0	
45.898438	0.000E+0	
46.8750	0.000E+0	
47.851563	0.000E+0	
48.828125	1.000E+0	
49.804688	2.000E+0	
50.781250	2.000E+0	
51.757813	1.000E+0	
52.734375	0.000E+0	
53.710938	0.000E+0	
54.68750	0.000E+0	
55.664063	1.000E+0	
56.640625	0.000E+0	
57.617188	0.000E+0	
58.593750	0.000E+0	
59.570313	5.000E+0	
60.546875	7.800E+1	
61.523438	4.350E+2	
62.50	1.115E+3	
63.476563	1.674E+3	
64.453125	1.829E+3	
65.429688	2.000E+3	
66.406250	1.926E+3	
67.382813	1.864E+3	
68.359375	1.880E+3	
69.335938	1.801E+3	
70.31250	1.747E+3	
71.289063	1.679E+3	
72.265625	1.710E+3	
73.242188	1.670E+3	
74.218750	1.612E+3	
75.195313	1.648E+3	
76.171875	1.530E+3	
77.148438	1.489E+3	
78.1250	1.450E+3	
79.101563	1.467E+3	
80.078125	1.428E+3	
81.054688	1.389E+3	
82.031250	1.411E+3	
83.007813	1.349E+3	
83.984375	1.314E+3	
84.960938	1.271E+3	
85.93750	1.282E+3	
86.914063	1.262E+3	
87.890625	1.215E+3	
88.867188	1.240E+3	
89.843750	1.155E+3	
90.820313	1.179E+3	
91.796875	1.112E+3	
92.773438	1.160E+3	
93.750	1.102E+3	
94.726563	1.096E+3	
95.703125	1.124E+3	
96.679688	1.071E+3	
97.656250	1.149E+3	
98.632813	1.078E+3	
99.609375	1.019E+3	
100.58590	9.820E+2	
101.56250	1.024E+3	
102.53910	1.006E+3	
103.51560	9.750E+2	
104.49220	9.870E+2	
105.46880	9.860E+2	
106.44530	9.840E+2	
107.42190	9.570E+2	
108.39840	9.320E+2	
109.3750	9.670E+2	
110.35160	9.620E+2	
111.32810	9.500E+2	
112.30470	8.770E+2	
113.28130	9.270E+2	
114.25780	9.300E+2	
115.23440	8.960E+2	
116.21090	8.870E+2	
117.18750	8.970E+2	
118.16410	8.930E+2	
119.14060	9.210E+2	
120.11720	8.730E+2	
121.09380	8.410E+2	
122.07030	8.620E+2	
123.04690	8.740E+2	
124.02340	8.450E+2	
125.0	7.950E+2	
125.97660	8.010E+2	
126.95310	8.680E+2	
127.92970	8.490E+2	
128.90630	7.950E+2	
129.88280	8.240E+2	
130.85940	8.140E+2	
131.83590	7.660E+2	
132.81250	8.140E+2	
133.78910	7.860E+2	
134.76560	7.790E+2	
135.74220	7.110E+2	
136.71880	7.940E+2	
137.69530	7.500E+2	
138.67190	7.580E+2	
139.64840	7.560E+2	
140.6250	7.950E+2	
141.60160	6.790E+2	
142.57810	7.470E+2	
143.55470	7.460E+2	
144.53130	7.440E+2	
145.50780	7.240E+2	
146.48440	7.050E+2	
147.46090	7.320E+2	
148.43750	6.910E+2	
149.41410	6.780E+2	
150.39060	6.770E+2	
151.36720	6.850E+2	
152.34380	6.770E+2	
153.32030	6.700E+2	
154.29690	6.310E+2	
155.27340	6.200E+2	
156.250	6.580E+2	
157.22660	6.290E+2	
