year	tmax
1859	2.1
1859	2.9
1859	4.0
1859	4.6
1859	2.0
1859	2.6
1859	-1.0
1859	-4.0
1859	1.0
1859	7.0
1859	7.0
1859	0.6
1859	-3.5
1859	-2.0
1859	3.0
1859	1.5
1859	2.0
1859	2.4
1859	7.0
1859	4.6
1859	3.8
1859	4.0
1859	3.1
1859	2.4
1859	5.2
1859	8.0
1859	3.5
1859	2.0
1859	2.3
1859	3.5
1859	3.6
1859	2.3
1859	3.2
1859	1.0
1859	0.0
1859	4.2
1859	3.0
1859	3.0
1859	2.0
1859	1.8
1859	1.0
1859	3.0
1859	5.0
1859	5.0
1859	3.0
1859	3.5
1859	5.1
1859	3.1
1859	-1.0
1859	-0.1
1859	1.4
1859	6.2
1859	6.5
1859	5.0
1859	-1.0
1859	-1.0
1859	-0.2
1859	1.1
1859	0.6
1859	0.0
1859	3.1
1859	3.7
1859	4.0
1859	9.2
1859	6.5
1859	4.5
1859	7.0
1859	5.0
1859	0.6
1859	3.8
1859	7.5
1859	6.2
1859	5.0
1859	3.0
1859	0.0
1859	2.9
1859	9.0
1859	7.0
1859	7.5
1859	7.9
1859	6.5
1859	4.0
1859	-2.5
1859	-4.4
1859	-3.0
1859	-0.1
1859	5.0
1859	9.5
1859	8.6
1859	4.0
1859	2.7
1859	3.3
1859	4.1
1859	3.3
1859	2.8
1859	6.0
1859	13.0
1859	16.0
1859	9.9
1859	7.5
1859	1.2
1859	2.9
1859	5.8
1859	7.0
1859	6.0
1859	4.6
1859	7.4
1859	5.8
1859	6.0
1859	7.0
1859	10.5
1859	9.6
1859	8.0
1859	7.7
1859	6.7
1859	3.9
1859	2.1
1859	5.0
1859	3.2
1859	3.5
1859	5.8
1859	9.0
1859	5.6
1859	10.0
1859	7.4
1859	7.8
1859	9.5
1859	10.8
1859	11.0
1859	10.9
1859	8.8
1859	7.0
1859	10.0
1859	15.0
1859	17.6
1859	18.0
1859	19.8
1859	16.1
1859	16.6
1859	21.0
1859	15.5
1859	12.5
1859	15.0
1859	17.4
1859	22.0
1859	24.0
1859	26.0
1859	24.5
1859	22.2
1859	20.0
1859	23.8
1859	24.6
1859	26.3
1859	15.2
1859	13.0
1859	18.0
1859	21.6
1859	25.8
1859	25.0
1859	25.4
1859	15.5
1859	20.0
1859	24.8
1859	25.4
1859	20.4
1859	20.0
1859	17.9
1859	17.5
1859	17.2
1859	22.5
1859	25.0
1859	25.1
1859	24.6
1859	21.7
1859	20.0
1859	20.7
1859	23.5
1859	27.2
1859	25.5
1859	21.9
1859	21.6
1859	24.0
1859	22.6
1859	22.0
1859	19.9
1859	19.7
1859	26.5
1859	24.8
1859	20.3
1859	19.9
1859	24.5
1859	25.9
1859	24.1
1859	23.0
1859	19.0
1859	20.2
1859	21.0
1859	24.8
1859	21.3
1859	20.3
1859	21.0
1859	29.8
1859	25.6
1859	19.0
1859	19.0
1859	21.2
1859	24.0
1859	21.4
1859	22.6
1859	21.6
1859	19.0
1859	21.0
1859	22.0
1859	20.5
1859	23.0
1859	23.1
1859	24.1
1859	20.9
1859	20.4
1859	19.6
1859	21.0
1859	19.0
1859	19.8
1859	23.0
1859	23.9
1859	27.2
1859	21.2
1859	19.6
1859	20.0
1859	26.5
1859	27.4
1859	25.2
1859	22.0
1859	21.0
1859	23.0
1859	22.2
1859	22.0
1859	26.0
1859	16.0
1859	22.0
1859	20.9
1859	21.6
1859	24.0
1859	17.6
1859	19.0
1859	20.0
1859	20.0
1859	18.8
1859	18.7
1859	18.5
1859	18.0
1859	17.5
1859	18.3
1859	17.2
1859	15.0
1859	17.5
1859	16.2
1859	10.5
1859	11.0
1859	8.6
1859	10.2
1859	11.2
1859	13.2
1859	14.9
1859	13.0
1859	13.8
1859	15.2
1859	20.2
1859	18.0
1859	15.7
1859	14.9
1859	13.8
1859	15.0
1859	15.0
1859	13.8
1859	10.0
1859	11.2
1859	13.0
1859	13.4
1859	14.0
1859	11.0
1859	8.2
1859	8.5
1859	5.8
1859	8.1
1859	8.5
1859	8.2
1859	9.0
1859	9.5
1859	8.5
1859	4.7
1859	4.0
1859	2.0
1859	2.7
1859	3.5
1859	5.0
1859	5.5
1859	6.2
1859	7.5
1859	8.0
1859	7.2
1859	7.5
1859	9.6
1859	6.8
1859	6.8
1859	5.0
1859	4.0
1859	1.4
1859	7.6
1859	10.3
1859	10.4
1859	9.2
1859	2.4
1859	1.1
1859	2.5
1859	2.8
1859	4.2
1859	4.5
1859	4.9
1859	2.6
1859	3.0
1859	2.6
1859	3.0
1859	3.3
1859	3.5
1859	3.8
1859	6.0
1859	1.8
1859	0.8
1859	2.4
1859	3.8
1859	5.0
1859	5.0
1859	0.1
1859	-1.2
1859	-5.0
1859	-1.0
1859	-0.3
1859	1.0
1859	3.0
1859	5.0
1859	4.8
1859	0.8
1859	1.6
1859	2.0
1859	2.0
1859	-3.2
1859	-2.1
1859	-3.3
1859	-10.6
1859	-11.4
1859	-8.0
1859	-11.0
1859	-5.9
1859	-4.5
1859	2.0
1859	2.0
1859	0.6
1859	1.6
1859	3.0
1859	3.2
1859	3.6
1859	3.0
1859	3.4
1859	3.2
1860	3.0
1860	5.0
1860	5.1
1860	3.6
1860	4.0
1860	3.8
1860	2.0
1860	0.6
1860	0.0
1860	-4.2
1860	-1.0
1860	0.2
1860	-0.2
1860	0.3
1860	0.7
1860	0.0
1860	0.9
1860	0.1
1860	-0.5
1860	-3.8
1860	-0.8
1860	-1.0
1860	-3.2
1860	-2.0
1860	1.8
1860	2.0
1860	1.0
1860	1.8
1860	1.6
1860	2.0
1860	1.5
1860	1.3
1860	1.0
1860	1.0
1860	1.8
1860	1.8
1860	1.0
1860	-5.0
1860	-6.2
1860	-7.5
1860	-13.0
1860	-12.0
1860	-11.5
1860	-10.3
1860	1.0
1860	2.0
1860	-0.3
1860	-0.1
1860	-1.2
1860	0.5
1860	0.0
1860	-8.1
1860	-13.0
1860	-3.0
1860	1.7
1860	-2.0
1860	-1.9
1860	-0.9
1860	2.5
1860	2.0
1860	0.8
1860	-4.0
1860	-0.1
1860	2.0
1860	-1.1
1860	-3.2
1860	-3.0
1860	-6.0
1860	-6.8
1860	-3.6
1860	-4.1
1860	-3.2
1860	-3.6
1860	2.0
1860	2.9
1860	1.2
1860	1.0
1860	3.0
1860	5.8
1860	6.2
1860	5.0
1860	2.5
1860	5.4
1860	3.3
1860	2.0
1860	2.7
1860	5.4
1860	6.3
1860	2.8
1860	2.7
1860	4.8
1860	3.9
1860	8.4
1860	6.0
1860	2.5
1860	4.3
1860	9.2
1860	10.0
1860	7.3
1860	6.5
1860	8.3
1860	10.3
1860	9.0
1860	4.0
1860	3.9
1860	7.1
1860	11.0
1860	14.0
1860	13.0
1860	1.0
1860	3.5
1860	9.0
1860	8.0
1860	7.5
1860	6.9
1860	10.9
1860	10.8
1860	8.9
1860	12.0
1860	11.5
1860	12.3
1860	15.0
1860	12.3
1860	6.5
1860	8.4
1860	8.2
1860	5.9
1860	7.5
1860	10.0
1860	12.0
1860	13.8
1860	14.6
1860	9.8
1860	5.2
1860	5.0
1860	6.2
1860	9.7
1860	10.6
1860	14.7
1860	14.6
1860	19.0
1860	14.3
1860	15.8
1860	12.9
1860	16.4
1860	13.7
1860	17.2
1860	15.6
1860	16.2
1860	17.6
1860	16.0
1860	14.2
1860	16.4
1860	17.0
1860	18.2
1860	19.5
1860	12.1
1860	15.6
1860	18.8
1860	20.2
1860	16.4
1860	18.0
1860	16.6
1860	17.0
1860	19.5
1860	22.0
1860	22.0
1860	22.5
1860	25.1
1860	23.8
1860	24.6
1860	22.1
1860	21.8
1860	22.2
1860	23.4
1860	22.8
1860	25.0
1860	20.8
1860	20.0
1860	19.4
1860	20.7
1860	16.3
1860	13.5
1860	18.6
1860	21.4
1860	13.0
1860	12.0
1860	16.0
1860	15.2
1860	17.4
1860	19.8
1860	19.3
1860	25.3
1860	21.5
1860	22.2
1860	21.7
1860	22.0
1860	26.2
1860	27.0
1860	26.8
1860	27.7
1860	27.6
1860	23.0
1860	23.2
1860	23.4
1860	23.2
1860	23.2
1860	21.0
1860	22.0
1860	21.4
1860	22.5
1860	21.3
1860	22.3
1860	23.0
1860	21.6
1860	21.3
1860	20.2
1860	20.0
1860	18.2
1860	21.5
1860	19.2
1860	21.0
1860	21.3
1860	20.0
1860	18.4
1860	21.7
1860	18.4
1860	20.0
1860	20.8
1860	21.0
1860	20.8
1860	20.1
1860	19.1
1860	20.9
1860	18.7
1860	16.3
1860	17.8
1860	18.0
1860	19.2
1860	17.2
1860	17.0
1860	17.0
1860	17.6
1860	19.0
1860	17.8
1860	17.0
1860	16.3
1860	16.2
1860	16.8
1860	18.2
1860	20.2
1860	19.6
1860	13.0
1860	11.0
1860	11.8
1860	15.8
1860	14.8
1860	15.4
1860	16.3
1860	15.8
1860	16.0
1860	17.8
1860	15.0
1860	15.2
1860	14.0
1860	13.0
1860	15.8
1860	14.1
1860	16.8
1860	15.0
1860	13.0
1860	12.5
1860	12.5
1860	10.0
1860	11.2
1860	11.5
1860	12.0
1860	10.4
1860	7.5
1860	5.4
1860	8.6
1860	10.5
1860	7.4
1860	8.0
1860	5.2
1860	3.7
1860	3.0
1860	7.1
1860	6.6
1860	10.0
1860	11.0
1860	10.4
1860	10.4
1860	9.5
1860	9.4
1860	9.0
1860	6.0
1860	6.6
1860	6.0
1860	9.8
1860	9.0
1860	9.0
1860	7.2
1860	6.7
1860	5.8
1860	4.0
1860	5.5
1860	5.0
1860	5.0
1860	2.7
1860	3.7
1860	3.0
1860	2.1
1860	4.0
1860	5.0
1860	5.2
1860	5.0
1860	3.0
1860	4.0
1860	6.4
1860	7.0
1860	5.8
1860	7.0
1860	5.9
1860	3.4
1860	0.4
1860	1.3
1860	1.5
1860	1.0
1860	0.5
1860	0.0
1860	-1.0
1860	-3.8
1860	-1.8
1860	-0.1
1860	-3.4
1860	-4.8
1860	-2.5
1860	-1.3
1860	0.0
1860	-1.0
1860	0.0
1860	3.8
1860	3.2
1860	2.0
1860	-2.4
1860	-2.0
1860	-2.0
1860	-2.7
1860	-1.1
1860	0.5
1860	-2.2
1860	-1.0
1860	-2.0
1860	-7.5
1860	-8.8
1860	-6.0
1860	-1.0
1860	-0.2
1860	-0.7
1860	-1.0
1860	-3.0
1860	-6.0
1860	-5.8
1860	-5.9
1860	-8.7
1861	-8.2
1861	-10.5
1861	-9.8
1861	-6.0
1861	-6.3
1861	-3.2
1861	-3.0
1861	-6.1
1861	-10.6
1861	-4.8
1861	-7.0
1861	-10.0
1861	-12.5
1861	-9.1
1861	-5.8
1861	1.0
1861	1.0
1861	1.7
1861	-3.2
1861	-8.2
1861	-6.1
1861	-9.2
1861	-8.3
1861	-2.0
1861	1.3
1861	2.0
1861	-6.0
1861	-10.2
1861	-5.4
1861	-0.8
1861	1.0
1861	2.1
1861	3.0
1861	4.0
1861	3.0
1861	3.5
1861	3.2
1861	4.8
1861	4.6
1861	3.6
1861	0.2
1861	-3.1
1861	-2.8
1861	1.3
1861	-0.2
1861	-0.9
1861	1.2
1861	-1.0
1861	-5.0
1861	-6.6
1861	-3.8
1861	-1.1
1861	3.2
1861	6.6
1861	3.2
1861	2.8
1861	1.0
1861	2.7
1861	2.6
1861	4.0
1861	2.9
1861	3.8
1861	2.5
1861	1.4
1861	2.8
1861	6.0
1861	2.5
1861	3.5
1861	1.9
1861	0.8
1861	-0.8
1861	-4.8
1861	-5.3
1861	1.1
1861	4.0
1861	2.6
1861	5.0
1861	2.4
1861	2.5
1861	2.0
1861	3.0
1861	5.4
1861	6.3
1861	7.2
1861	7.5
1861	3.8
1861	3.6
1861	7.5
1861	4.0
1861	6.6
1861	8.0
1861	8.0
1861	8.7
1861	5.2
1861	5.5
1861	4.1
1861	3.0
1861	4.5
1861	9.1
1861	8.8
1861	10.5
1861	11.0
1861	9.4
1861	5.3
1861	7.8
1861	12.8
1861	9.0
1861	2.5
1861	1.5
1861	5.9
1861	7.5
1861	0.3
1861	6.0
1861	6.5
1861	9.0
1861	3.7
1861	6.6
1861	6.0
1861	4.7
1861	6.3
1861	9.6
1861	6.7
1861	4.0
1861	4.7
1861	10.0
1861	11.4
1861	5.0
1861	4.9
1861	6.3
1861	10.0
1861	12.6
1861	10.8
1861	8.8
1861	7.8
1861	10.6
1861	4.3
1861	7.0
1861	6.9
1861	10.0
1861	8.4
1861	10.0
1861	12.2
1861	14.1
1861	9.1
1861	14.0
1861	14.7
1861	19.0
1861	17.8
1861	18.0
1861	17.8
1861	16.9
1861	16.9
1861	20.0
1861	20.3
1861	20.0
1861	21.0
1861	21.0
1861	23.2
1861	23.0
1861	24.2
1861	24.5
1861	26.0
1861	28.1
1861	24.3
1861	26.6
1861	30.2
1861	19.2
1861	14.8
1861	22.5
1861	18.0
1861	19.9
1861	21.2
1861	18.8
1861	20.8
1861	20.6
1861	17.3
1861	21.0
1861	20.5
1861	22.3
1861	19.3
1861	19.1
1861	20.0
1861	20.7
1861	21.3
1861	21.7
1861	22.2
1861	24.0
1861	20.3
1861	21.0
1861	23.0
1861	24.0
1861	23.9
1861	25.0
1861	26.0
1861	26.2
1861	28.3
1861	25.9
1861	22.5
1861	21.9
1861	22.1
1861	23.2
1861	25.2
1861	27.8
1861	27.4
1861	29.0
1861	24.0
1861	27.0
1861	26.0
1861	21.9
1861	17.0
1861	17.8
1861	21.6
1861	20.6
1861	22.0
1861	23.8
1861	20.6
1861	22.0
1861	20.2
1861	21.7
1861	21.4
1861	18.2
1861	21.0
1861	19.6
1861	21.4
1861	25.0
1861	18.8
1861	17.2
1861	21.6
1861	21.5
1861	21.4
1861	21.5
1861	21.0
1861	19.8
1861	19.2
1861	19.6
1861	13.7
1861	17.0
1861	17.9
1861	16.9
1861	15.0
1861	19.2
1861	19.4
1861	14.8
1861	16.0
1861	16.0
1861	16.9
1861	17.7
1861	15.0
1861	15.2
1861	15.7
1861	15.5
1861	16.0
1861	15.8
1861	16.0
1861	15.6
1861	16.2
1861	14.9
1861	16.5
1861	17.0
1861	14.1
1861	12.1
1861	9.3
1861	9.2
1861	10.1
1861	12.6
1861	9.9
1861	8.1
1861	11.1
1861	14.9
1861	16.3
1861	13.8
1861	13.8
1861	13.1
1861	13.8
1861	13.7
1861	14.0
1861	11.0
1861	13.4
1861	12.2
1861	11.1
1861	12.8
1861	15.5
1861	14.4
1861	14.4
1861	13.0
1861	12.3
1861	14.0
1861	12.7
1861	13.2
1861	13.2
1861	8.2
1861	9.0
1861	8.0
1861	10.2
1861	10.5
1861	11.0
1861	11.0
1861	9.0
1861	8.4
1861	8.0
1861	7.8
1861	7.0
1861	7.2
1861	9.0
1861	8.0
1861	6.7
1861	6.2
1861	6.1
1861	3.0
1861	3.0
1861	5.8
1861	4.2
1861	5.7
1861	1.7
1861	-0.8
1861	0.9
1861	1.0
1861	0.0
1861	-2.5
1861	-6.2
1861	-7.0
1861	-7.2
1861	4.5
1861	4.5
1861	6.3
1861	6.1
1861	5.5
1861	1.9
1861	1.0
1861	4.4
1861	5.1
1861	3.1
1861	3.3
1861	9.8
1861	6.8
1861	1.7
1861	1.6
1861	0.0
1861	0.0
1861	1.6
1861	1.2
1861	1.5
1861	4.0
1861	3.9
1861	4.0
1861	3.2
1861	5.2
1861	6.0
1861	6.8
1861	3.5
1861	2.1
1861	1.9
1861	1.6
1861	0.1
1861	4.0
1861	2.2
1861	2.2
1861	2.9
1861	0.2
1861	2.6
1861	0.5
1861	1.6
1861	3.3
1861	-3.9
1861	4.4
1862	-0.1
1862	-9.4
1862	-4.0
1862	-3.1
1862	-7.8
1862	-8.0
1862	-0.5
1862	-2.5
1862	-0.8
1862	2.2
1862	0.0
1862	-2.0
1862	-7.6
1862	-7.0
1862	-10.8
1862	-12.9
1862	-12.8
1862	-17.8
1862	-12.0
1862	-6.4
1862	-5.0
1862	-1.2
1862	-0.4
1862	-0.1
1862	-1.0
1862	-2.0
1862	-4.0
1862	-0.5
1862	1.0
1862	2.2
1862	1.0
1862	-7.8
1862	-9.0
1862	-2.5
1862	-1.1
1862	-8.0
1862	-12.4
1862	-14.5
1862	-11.0
1862	-4.0
1862	-2.0
1862	0.2
1862	0.0
1862	-6.0
1862	-5.0
1862	-2.5
1862	-2.0
1862	-3.0
1862	-4.0
1862	0.2
1862	0.8
1862	1.5
1862	1.7
1862	0.6
1862	3.0
1862	2.0
1862	-0.8
1862	0.0
1862	2.4
1862	-3.5
1862	-5.8
1862	4.8
1862	-10.0
1862	-2.5
1862	0.5
1862	4.6
1862	6.0
1862	1.8
1862	2.0
1862	4.0
1862	1.0
1862	2.0
1862	5.0
1862	4.0
1862	5.5
1862	5.7
1862	1.0
1862	1.0
1862	-3.8
1862	-3.8
1862	-7.8
1862	-6.6
1862	-1.5
1862	-0.1
1862	-0.2
1862	3.0
1862	0.2
1862	4.1
1862	-2.3
1862	-3.3
1862	3.0
1862	5.7
1862	11.2
1862	9.8
1862	4.0
1862	4.3
1862	5.8
1862	6.5
1862	8.1
1862	11.6
1862	7.0
1862	2.5
1862	5.0
1862	3.0
1862	4.3
1862	5.2
1862	5.3
1862	6.3
1862	9.2
1862	7.3
1862	7.0
1862	10.6
1862	7.6
1862	8.1
1862	12.0
1862	12.0
1862	11.8
1862	10.7
1862	14.0
1862	16.5
1862	20.0
1862	18.5
1862	12.6
1862	12.2
1862	16.3
1862	18.0
1862	21.6
1862	17.8
1862	16.2
1862	14.0
1862	14.2
1862	12.3
1862	13.5
1862	14.8
1862	12.5
1862	13.1
1862	17.0
1862	21.7
1862	20.4
1862	21.7
1862	16.0
1862	16.9
1862	14.3
1862	12.9
1862	9.2
1862	12.6
1862	16.0
1862	14.0
1862	18.6
1862	16.8
1862	16.0
1862	18.2
1862	22.6
1862	22.0
1862	20.6
1862	17.0
1862	20.2
1862	19.2
1862	20.0
1862	19.2
1862	15.0
1862	16.5
1862	17.6
1862	17.0
1862	18.0
1862	18.8
1862	19.4
1862	22.0
1862	20.0
1862	17.4
1862	16.8
1862	17.0
1862	16.9
1862	17.0
1862	13.2
1862	14.6
1862	18.6
1862	16.3
1862	16.0
1862	18.8
1862	16.1
1862	16.0
1862	16.5
1862	16.5
1862	17.2
1862	17.8
1862	20.8
1862	16.0
1862	15.4
1862	15.3
1862	20.7
1862	18.9
1862	19.3
1862	19.2
1862	22.3
1862	19.9
1862	22.0
1862	18.0
1862	19.7
1862	20.8
1862	18.2
1862	19.0
1862	19.2
1862	18.0
1862	18.5
1862	16.4
1862	20.9
1862	20.8
1862	19.0
1862	18.7
1862	19.4
1862	19.0
1862	17.5
1862	19.0
1862	20.0
1862	18.6
1862	20.4
1862	20.3
1862	20.0
1862	20.0
1862	20.8
1862	20.6
1862	18.0
1862	18.0
1862	18.8
1862	16.0
1862	19.6
1862	21.4
1862	16.2
1862	17.8
1862	20.3
1862	23.0
1862	21.1
1862	24.0
1862	23.0
1862	18.3
1862	14.6
1862	16.2
1862	16.6
1862	15.7
1862	17.8
1862	16.0
1862	14.8
1862	16.6
1862	19.0
1862	18.8
1862	21.3
1862	20.6
1862	23.0
1862	19.1
1862	22.0
1862	20.0
1862	19.5
1862	17.2
1862	17.2
1862	16.2
1862	17.3
1862	19.5
1862	18.8
1862	13.7
1862	15.3
1862	19.0
1862	14.7
1862	9.0
1862	8.4
1862	10.5
1862	9.2
1862	10.0
1862	11.0
1862	10.7
1862	13.9
1862	13.0
1862	12.0
1862	13.8
1862	15.5
1862	14.4
1862	13.8
1862	12.0
1862	11.8
1862	12.7
1862	13.6
1862	14.0
1862	15.7
1862	14.2
1862	8.0
1862	6.0
1862	2.7
1862	3.0
1862	10.0
1862	12.0
1862	10.2
1862	10.2
1862	9.4
1862	9.2
1862	10.0
1862	10.6
1862	7.6
1862	8.8
1862	10.5
1862	10.2
1862	10.8
1862	9.0
1862	6.8
1862	6.9
1862	6.8
1862	7.0
1862	6.4
1862	8.0
1862	7.7
1862	7.2
1862	4.6
1862	3.3
1862	4.2
1862	7.9
1862	7.8
1862	6.8
1862	6.7
1862	5.6
1862	5.6
1862	3.7
1862	3.0
1862	2.0
1862	3.0
1862	2.5
1862	1.9
1862	1.5
1862	2.0
1862	2.0
1862	2.0
1862	3.1
1862	3.0
1862	4.0
1862	2.8
1862	2.6
1862	1.7
1862	0.0
1862	-0.8
1862	0.1
1862	-2.0
1862	-2.5
1862	-1.4
1862	-1.0
1862	-4.2
1862	-6.0
1862	-6.7
1862	-4.8
1862	-3.9
1862	1.2
1862	4.0
1862	4.0
1862	2.2
1862	3.0
1862	2.0
1862	4.0
1862	1.1
1862	2.6
1862	-0.8
1862	0.3
1862	4.4
1862	4.0
1862	-0.4
1862	1.3
1862	-1.5
1862	3.2
1862	3.4
1863	3.6
1863	7.7
1863	10.0
1863	3.0
1863	3.2
1863	4.0
1863	3.2
1863	1.6
1863	1.5
1863	1.4
1863	1.2
1863	0.3
1863	0.8
1863	1.1
1863	2.9
1863	5.0
1863	2.4
1863	2.2
1863	1.7
1863	2.0
1863	0.2
1863	-4.2
1863	4.2
1863	4.7
1863	4.0
1863	6.7
1863	8.4
1863	4.6
1863	0.4
1863	5.2
1863	7.2
1863	-1.0
1863	-0.8
1863	3.5
1863	4.5
1863	3.8
1863	9.0
1863	8.7
1863	3.0
1863	-0.8
1863	1.6
1863	4.3
1863	5.9
1863	6.0
1863	3.0
1863	2.0
1863	2.5
1863	6.0
1863	7.6
1863	3.1
1863	2.0
1863	4.5
1863	4.0
1863	0.8
1863	2.6
1863	4.0
1863	5.0
1863	7.3
1863	9.0
1863	7.0
1863	3.8
1863	5.4
1863	6.2
1863	4.5
1863	3.0
1863	1.1
1863	-1.2
1863	-7.0
1863	-3.9
1863	-3.6
1863	2.0
1863	2.0
1863	4.0
1863	3.0
1863	2.2
1863	1.0
1863	1.4
1863	1.0
1863	4.1
1863	4.3
1863	3.8
1863	9.0
1863	4.8
1863	8.9
1863	7.5
1863	5.0
1863	4.1
1863	-0.3
1863	-0.2
1863	1.8
1863	3.3
1863	1.8
1863	3.5
1863	2.2
1863	3.3
1863	7.5
1863	12.2
1863	10.2
1863	10.0
1863	10.2
1863	9.7
1863	11.2
1863	10.5
1863	11.0
1863	11.2
1863	13.8
1863	14.0
1863	14.0
1863	11.8
1863	12.5
1863	10.5
1863	10.5
1863	9.0
1863	7.2
1863	5.0
1863	5.4
1863	5.0
1863	9.0
1863	6.4
1863	7.0
1863	10.0
1863	14.2
1863	15.0
1863	15.6
1863	14.1
1863	10.5
1863	13.5
1863	9.5
1863	16.6
1863	14.2
1863	11.6
1863	12.6
1863	17.1
1863	19.3
1863	15.4
1863	15.4
1863	16.0
1863	18.0
1863	13.0
1863	10.5
1863	11.8
1863	9.0
1863	11.4
1863	11.3
1863	12.0
1863	16.0
1863	10.6
1863	13.1
1863	14.0
1863	13.7
1863	13.6
1863	13.7
1863	16.2
1863	16.0
1863	17.7
1863	17.3
1863	18.1
1863	16.5
1863	17.0
1863	19.3
1863	19.6
1863	21.0
1863	21.8
1863	22.9
1863	17.5
1863	20.6
1863	20.8
1863	22.1
1863	24.7
1863	21.3
1863	21.5
1863	21.9
1863	25.2
1863	26.3
1863	24.0
1863	26.1
1863	22.7
1863	21.2
1863	21.2
1863	20.0
1863	20.1
1863	21.3
1863	20.8
1863	20.2
1863	14.0
1863	15.6
1863	20.9
1863	22.9
1863	23.9
1863	21.9
1863	25.0
1863	28.0
1863	27.6
1863	19.5
1863	19.6
1863	17.1
1863	14.6
1863	14.6
1863	16.9
1863	13.1
1863	16.5
1863	17.0
1863	19.0
1863	16.0
1863	16.0
1863	18.2
1863	21.0
1863	24.4
1863	23.5
1863	23.5
1863	22.0
1863	16.0
1863	18.6
1863	20.2
1863	21.8
1863	24.2
1863	20.0
1863	22.0
1863	21.4
1863	22.0
1863	22.8
1863	21.8
1863	21.5
1863	21.6
1863	22.5
1863	16.0
1863	19.5
1863	19.9
1863	20.8
1863	17.5
1863	18.7
1863	18.4
1863	20.0
1863	19.0
1863	19.0
1863	19.5
1863	19.0
1863	20.0
1863	19.0
1863	25.0
1863	25.4
1863	20.4
1863	21.5
1863	21.0
1863	21.0
1863	19.4
1863	19.9
1863	17.0
1863	17.0
1863	15.9
1863	17.2
1863	16.0
1863	16.2
1863	17.0
1863	15.2
1863	15.5
1863	13.0
1863	13.8
1863	14.6
1863	12.5
1863	13.8
1863	14.0
1863	16.5
1863	14.5
1863	11.0
1863	16.2
1863	16.0
1863	14.1
1863	15.0
1863	13.0
1863	14.6
1863	14.2
1863	13.5
1863	14.5
1863	14.8
1863	15.0
1863	15.5
1863	14.0
1863	15.6
1863	13.0
1863	11.0
1863	10.6
1863	11.9
1863	13.0
1863	11.0
1863	12.0
1863	13.5
1863	14.8
1863	13.8
1863	13.0
1863	9.4
1863	13.5
1863	10.5
1863	9.0
1863	8.5
1863	9.0
1863	5.2
1863	6.0
1863	7.0
1863	6.9
1863	8.5
1863	8.8
1863	9.6
1863	10.0
1863	9.3
1863	8.8
1863	8.2
1863	7.0
1863	6.9
1863	3.5
1863	3.0
1863	1.0
1863	-0.1
1863	3.0
1863	2.2
1863	3.0
1863	7.7
1863	8.0
1863	5.4
1863	9.6
1863	8.6
1863	4.0
1863	7.5
1863	9.0
1863	8.5
1863	7.2
1863	6.0
1863	4.1
1863	6.4
1863	6.0
1863	8.0
1863	6.0
1863	5.5
1863	5.0
1863	3.2
1863	4.2
1863	5.5
1863	6.0
1863	5.8
1863	6.2
1863	6.0
1863	10.3
1863	7.6
1863	6.0
1863	6.0
1863	0.2
1863	-2.1
1863	-3.2
1863	-3.0
1863	4.0
1863	4.3
1863	0.7
1863	-1.2
1863	3.8
1863	6.0
1863	6.1
1863	-2.0
1863	-1.6
1863	6.2
1863	9.0
1863	2.1
1863	-2.2
1863	-4.8
1863	-5.2
1863	-4.8
1864	-7.0
1864	-6.0
1864	-4.2
1864	-1.4
1864	-2.0
1864	-2.2
1864	-6.2
1864	-5.7
1864	-3.8
1864	-3.7
1864	-3.1
1864	-1.8
1864	-2.5
1864	-1.4
1864	-1.7
1864	-2.7
1864	-4.3
1864	-4.7
1864	-3.6
1864	-2.4
1864	1.3
1864	2.0
1864	4.0
1864	4.0
1864	2.2
1864	5.0
1864	5.7
1864	-3.2
1864	-2.2
1864	-0.2
1864	3.2
1864	3.0
1864	4.0
1864	4.0
1864	3.0
1864	0.5
1864	0.5
1864	-1.5
1864	0.2
1864	0.0
1864	-1.1
1864	-0.9
1864	-2.0
1864	1.1
1864	2.2
1864	6.2
1864	4.7
1864	-2.0
1864	-3.2
